Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Organelle Signal Coverage Of Cell List,mRNAs z coords,mRNAs intensities,mRNAs status
10,1,0,0,1,"[0.68306, 0.92213, 0.10246, 0.03415, 0.0, 0.13661, 0.03415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03415, 0.0, 0.17077, 0.47814]",[3],[170.398],['nc']
14,8,0,0,8,"[1.51079, 0.71942, 0.0, 0.0, 0.28777, 0.43165, 0.57554, 0.0, 0.0, 0.0, 0.0, 0.28777, 0.28777, 0.0, 0.43165, 0.43165, 0.07194]","[4, 5, 5, 5, 5, 6, 6, 6]","[215.4892, 161.8759, 225.3466, 256.9581, 170.9305, 191.5017, 183.5844, 183.4813]","['nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc']"
30,1,0,0,1,"[0.95357, 0.99502, 0.0, 0.16584, 0.45605, 0.2073, 0.04146, 0.16584, 0.04146, 0.0, 0.0, 0.04146, 0.16584, 0.33167, 0.04146, 0.37313, 0.2073]",[5],[197.3011],['nc']
33,13,0,6,7,"[22.43194, 28.82033, 31.43376, 37.49546, 39.74592, 40.0363, 41.27042, 41.74229, 41.16152, 41.63339, 40.50817, 41.5971, 43.59347, 43.37568, 40.76225, 37.74955, 34.33757]","[3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7]","[255.4655, 226.0195, 213.6894, 215.811, 168.3097, 210.1024, 170.8406, 179.7491, 210.774, 215.4272, 168.6498, 206.8124, 182.2567]","['organelle_far', 'organelle_far', 'nc', 'organelle_far', 'nc', 'nc', 'organelle_far', 'nc', 'nc', 'organelle_far', 'organelle_far', 'nc', 'nc']"
34,3,1,2,0,"[13.95683, 15.35971, 18.20144, 27.55396, 33.09353, 36.76259, 40.0, 42.8777, 43.81295, 42.6259, 42.01439, 39.38849, 32.3741, 29.17266, 28.45324, 24.56835, 19.92806]","[2, 8, 9]","[234.3004, 193.1479, 187.085]","['organelle_near', 'organelle_far', 'organelle_far']"
36,23,0,13,10,"[24.17502, 29.13713, 27.71938, 35.49254, 39.37912, 44.61012, 45.22122, 47.73894, 43.0946, 42.16573, 41.16353, 40.35688, 41.50574, 42.01907, 43.92569, 42.72794, 39.13469]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 6]","[236.442, 188.9283, 392.9128, 280.9259, 245.886, 295.94, 252.7979, 189.5826, 271.5471, 213.1757, 222.809, 236.1411, 193.4763, 227.2761, 207.366, 257.2075, 289.3869, 197.2892, 163.6029, 195.0117, 172.3428, 221.4454, 165.8855]","['organelle_far', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'nc', 'organelle_far', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far']"
