Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Organelle Signal Coverage Of Cell List,mRNAs z coords,mRNAs intensities,mRNAs status,nER Colocalization Ratio,cER Colocalization Ratio,Not Colocalized Ratio,Total Colocolized Ratio,Average Organelle Coverage
33,8,0,4,4,"[22.43194, 28.82033, 31.43376, 37.49546, 39.74592, 40.0363, 41.27042, 41.74229, 41.16152, 41.63339, 40.50817, 41.5971, 43.59347, 43.37568, 40.76225, 37.74955, 34.33757]","[3, 3, 3, 3, 4, 4, 4, 6]","[255.4655, 226.0195, 213.6894, 215.811, 210.1024, 210.774, 215.4272, 206.8124]","['organelle_far', 'organelle_far', 'nc', 'organelle_far', 'nc', 'nc', 'organelle_far', 'nc']",0.0,0.5,0.5,0.5,38.09971294117648
34,1,1,0,0,"[13.95683, 15.35971, 18.20144, 27.55396, 33.09353, 36.76259, 40.0, 42.8777, 43.81295, 42.6259, 42.01439, 39.38849, 32.3741, 29.17266, 28.45324, 24.56835, 19.92806]",[2],[234.3004],['organelle_near'],1.0,0.0,0.0,1.0,31.18493529411765
36,15,0,7,8,"[24.17502, 29.13713, 27.71938, 35.49254, 39.37912, 44.61012, 45.22122, 47.73894, 43.0946, 42.16573, 41.16353, 40.35688, 41.50574, 42.01907, 43.92569, 42.72794, 39.13469]","[3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6]","[236.442, 392.9128, 280.9259, 245.886, 295.94, 252.7979, 271.5471, 213.1757, 222.809, 236.1411, 227.2761, 207.366, 257.2075, 289.3869, 221.4454]","['organelle_far', 'nc', 'nc', 'nc', 'nc', 'nc', 'organelle_far', 'nc', 'organelle_far', 'nc', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'organelle_far']",0.0,0.4666666666666667,0.5333333333333333,0.4666666666666667,39.38631411764705
